time,diameter
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.1,0
3.6,0
4.1,1.2461838930569114
4.6,1.1966171643414505
5.1,1.1983609031478795
5.6,1.237556052880891
6.1,1.258028816292028
6.6,1.188578547283289
7.1,1.286652389009787
7.7,1.3059687593384275
8.2,1.3106266731477216
8.7,1.2818702057573466
9.2,1.3581349281920692
9.7,1.3401834544991698
10.2,1.3608357442085481
10.7,1.3643183757172759
11.3,1.359974849743503
11.8,1.4015606389529285
12.3,1.4335250822873116
12.8,1.40802888944682
13.3,1.4367927973131729
13.8,1.3903786369136473
14.3,1.3886267189856474
14.8,1.4283279341806543
15.3,1.4350667562049866
15.9,1.4612693526257097
16.4,1.4539430271485148
16.9,1.4388331110495203
17.4,1.4267699884265732
17.9,1.465362103856541
18.4,1.4889318805241645
18.9,1.476441164284951
19.4,1.5015014798990243
20.0,1.4622504880751435
20.5,1.4580513119494742
21.0,1.5093876926257053
21.5,1.474000879154518
22.0,1.4605237435496579
22.5,1.4830509038095978
23.0,1.476397965710364
23.5,1.5330868016842722
24.0,1.5196575861373667
24.5,1.436896744591266
25.0,1.4277855358555631
25.5,1.457143196711649
26.1,1.418957689671404
26.6,1.4931843097524904
27.1,1.4732367458053375
27.6,1.451323989099103
28.1,1.4466923750057423
28.6,1.4720666382870695
29.1,1.4498750565053409
29.7,1.4378060760238989
30.2,1.4861839333610674
30.7,1.4977972641037232
31.2,1.4997376414957406
31.7,1.516691792012797
32.2,1.5321799332244945
32.8,1.4937769334513056
33.3,1.5283230912566312
33.8,1.519846906639135
34.3,1.5302000929575075
34.8,1.4865815639777342
35.3,1.5071619095918374
35.8,1.5061963385478998
36.3,1.514213222682957
36.8,1.5325796625296415
37.3,1.5120700489879233
37.8,1.5366849992693485
38.4,1.5121915362411233
38.9,1.514457421066124
39.4,1.5187314264427605
39.9,1.481661348602301
40.4,1.5296702102696138
40.9,1.5435374621039608
41.4,1.5458526986712124
41.9,1.547440852235089
42.4,1.5273898830118697
42.9,1.553614395105844
43.5,1.574899248757865
44.0,1.5624202951616393
44.5,1.603586451193639
45.0,1.5501654968344474
45.5,1.5567888980656024
46.0,1.5539723990596999
46.5,1.556249574460476
47.0,1.536098420104395
47.5,1.548637429953872
48.0,1.5732408786975183
48.5,1.5877036129285789
49.0,1.5932088386324343
49.6,1.5904787277963963
50.1,1.6248720476386496
50.6,1.605168700681876
51.1,1.5380737632511878
51.6,1.607212339547064
52.1,1.6229087596009164
52.6,1.5811692649611928
53.1,1.6430753949287271
53.6,1.6211553446013516
54.2,1.6310483587772027
54.7,1.6264797265189117
55.2,1.624525930967539
55.7,1.5999409929479431
56.2,1.6154661162672985
56.7,1.6140633719312236
57.2,1.587883697977557
57.7,1.5756764667463339
58.2,1.5584240424028697
58.7,1.567223181828699
59.3,1.5658084170345163
59.8,1.577790014738672
60.3,1.5801161651236786
60.8,1.5834317774216449
61.3,1.5424186520350838
61.8,1.5733899863931862
62.3,1.578249136461868
62.8,1.5411093417266903
63.4,1.565600186864684
63.9,1.567674585119049
64.4,1.5415281711402926
64.9,1.5720674348726207
65.4,1.562183415947054
65.9,1.551772725464592
66.4,1.5859844463549526
66.9,1.6045430201216246
67.4,1.5983820246878289
67.9,1.6252344024737075
68.5,1.6254003705704636
69.0,1.5982737799034157
69.5,1.6113926218189958
70.0,1.6197025765019692
70.5,1.652806698985406
71.0,1.6148843872573788
71.5,1.6012326217948996
72.0,1.6158221285590888
72.5,1.6167218002733055
73.1,1.5900004536560242
73.6,1.615907715682957
74.1,1.5766761061253487
74.6,1.6128577657961511
75.1,1.631845821420662
75.6,1.6271523765235298
76.1,1.6031388367936115
76.6,1.623440633888405
77.2,1.6101247198728952
77.7,1.6677042328934464
78.2,1.6242061402888142
78.7,1.6003603716267991
79.2,1.6288731632358548
79.7,1.6259494158555214
80.2,1.634510940056436
80.7,1.602575447216258
81.2,1.592273096024445
81.7,1.5953842266079308
82.3,1.5704536112717251
82.8,1.6329459118478757
83.3,1.6066564358818307
83.8,1.615025684988523
84.3,1.584308427930269
84.8,1.609963722140913
85.3,1.5654676311336821
85.8,1.6015809312083633
86.4,1.5852466535569603
86.9,1.590821556255896
87.4,1.5814845854282922
87.9,1.6115046603788943
88.4,1.5992049936018242
88.9,1.5887689123723119
89.4,1.5805115067145776
89.9,1.5663360530954489
90.4,1.6001188660801855
91.0,1.5591287091805497
91.5,1.5868850440804518
92.0,1.5608905431577011
92.5,1.5833503502864354
93.0,1.5827948941115024
93.5,1.588565263221384
94.0,1.5743632962490162
94.6,1.5763904400018547
95.1,1.5711274858248505
95.6,1.5761671954634269
96.1,1.6068703406653233
96.6,1.586905236395999
97.1,1.629605650443679
97.6,1.623544085647461
98.1,1.6191428734352797
98.6,1.6005651054076726
99.1,1.6407086693414907
99.6,1.6347657111062728
100.2,1.6501601094124028
100.7,1.656760129924045
101.2,1.6273319190943774
101.7,1.6454036626070998
102.2,1.6566032013092267
102.7,1.6463823491061476
103.2,1.627962408039465
103.7,1.6166853153672858
104.3,1.6270586377020448
104.8,1.6178637622212046
105.3,1.626195623979516
105.8,1.618585482068748
106.3,1.6123675106753441
106.8,1.604219606564762
107.3,1.6080846585554887
107.9,1.6431713942387642
108.4,1.5897028761573364
108.9,1.615785729599623
109.4,1.6003017758325364
109.9,1.5968693309408875
110.4,1.5958557489198861
110.9,1.6217882070017937
111.4,1.6408086276568976
112.0,1.6265790312250705
112.5,1.5833420434313785
113.0,1.6039582040739129
113.5,1.6194794120662885
114.0,1.6298095691227528
114.5,1.616198110783966
115.0,1.6165683100910397
115.5,1.5779750288584944
116.0,1.633690320791033
116.6,1.6282773597298128
117.1,1.622513534697536
117.6,1.6264958443639563
118.1,1.5765923908535515
118.6,1.628058565467482
119.1,1.617230839819371
119.6,1.62091961394652
120.1,1.5977236325280693
120.6,1.6179023374749275
121.1,1.6257199330907612
121.6,1.5775683644343905
122.2,1.5934622431057088
122.7,1.633233379479634
123.2,1.6228575980317235
123.7,1.6199039776213635
124.2,1.6324189918006404
124.7,1.5815721242441214
125.2,1.5942899293018644
125.7,1.614021237348374
126.2,1.6070023723095974
126.8,1.5977347849596995
127.3,1.5845958387232117
127.8,1.5692462101346516
128.3,1.5947366660979847
128.8,1.5698266643708776
129.3,1.5989975388079913
129.8,1.5641118065969561
130.3,1.5979380489217905
130.8,1.601355684522615
131.3,1.5782274313607687
131.8,1.5619404529551462
132.4,1.5971681817100767
132.9,1.595527977424001
133.4,1.59153847084492
133.9,1.5748951643966647
134.4,1.5832212279960476
134.9,1.6091852908558941
135.4,1.6328829557536706
136.0,1.6149674364678257
136.5,1.6621373368805095
137.0,1.5970580521160287
137.5,1.5872376076511812
138.0,1.5925749247709482
138.5,1.5542555061777064
139.0,1.5761322358626757
139.5,1.5987195945431474
140.1,1.5810910333524275
140.6,1.5645872303256616
141.1,1.5783454505636776
141.6,1.579271960020099
142.1,1.599438422710506
142.6,1.5984078282003673
143.1,1.577901129734406
143.6,1.5816774342972748
144.1,1.5957304766585443
144.7,1.5917804082758737
145.2,1.5497935391929916
145.7,1.578659742023705
146.2,1.5618543919614103
146.7,1.5758957471809651
147.2,1.567779732547102
147.7,1.570333807379623
148.2,1.5744201558220283
148.7,1.566533738378479
149.2,1.5905298230304707
