100, 0.06010, 0.005
200, 0.02581, 0.005
300, 0.02206, 0.005
400, 0.02066, 0.005
500, 0.01831, 0.005
600, 0.01696, 0.005
700, 0.01660, 0.005
800, 0.01640, 0.005
900, 0.01622, 0.005
1000, 0.01610, 0.005
1100, 0.01597, 0.005
1200, 0.01428, 0.005
1300, 0.01417, 0.005
1400, 0.01331, 0.005
1500, 0.01346, 0.005
1600, 0.01408, 0.005
1700, 0.01321, 0.005
1800, 0.01330, 0.005
1900, 0.01223, 0.005
2000, 0.01295, 0.005
2100, 0.01287, 0.005
2200, 0.01212, 0.005
2300, 0.01208, 0.005
2400, 0.01211, 0.005
2500, 0.01206, 0.005
2600, 0.01322, 0.005
2700, 0.01206, 0.005
2800, 0.01223, 0.005
2900, 0.01148, 0.005
3000, 0.01162, 0.005
3100, 0.01203, 0.005
3200, 0.01098, 0.005
3300, 0.01201, 0.005
3400, 0.01175, 0.005
3500, 0.01179, 0.005
3600, 0.01153, 0.005
3700, 0.01179, 0.005
3800, 0.01105, 0.005
3900, 0.01137, 0.005
4000, 0.01079, 0.005
4100, 0.01082, 0.005
4200, 0.01125, 0.005
4300, 0.01071, 0.005
4400, 0.00987, 0.005
4500, 0.01165, 0.005
4600, 0.01059, 0.005
4700, 0.01066, 0.005
4800, 0.01012, 0.005
4900, 0.01201, 0.005
5000, 0.01077, 0.005
5100, 0.00916, 0.005
5200, 0.01037, 0.005
5300, 0.01034, 0.005
5400, 0.01046, 0.005
5500, 0.01057, 0.005
5600, 0.01080, 0.005
5700, 0.01118, 0.005
5800, 0.00981, 0.005
5900, 0.00956, 0.005
6000, 0.01071, 0.005
6100, 0.00979, 0.005
6200, 0.00983, 0.005
6300, 0.01007, 0.005
6400, 0.01022, 0.005
6500, 0.00938, 0.005
6600, 0.00983, 0.005
6700, 0.00974, 0.005
6800, 0.01027, 0.005
6900, 0.01010, 0.005
7000, 0.01044, 0.005
7100, 0.00995, 0.005
7200, 0.00926, 0.005
7300, 0.00935, 0.005
7400, 0.01110, 0.005
7500, 0.01015, 0.005
7600, 0.00921, 0.005
7700, 0.00975, 0.005
7800, 0.01056, 0.005
7900, 0.00996, 0.005
8000, 0.00926, 0.005
8100, 0.00907, 0.005
8200, 0.00911, 0.005
8300, 0.00834, 0.005
8400, 0.00967, 0.005
8500, 0.00954, 0.005
8600, 0.00881, 0.005
8700, 0.00950, 0.005
8800, 0.00957, 0.005
8900, 0.00940, 0.005
9000, 0.00915, 0.005
9100, 0.00849, 0.005
9200, 0.00938, 0.005
9300, 0.00862, 0.005
9400, 0.00791, 0.005
9500, 0.00858, 0.005
9600, 0.00912, 0.005
9700, 0.00699, 0.005
