time,diameter
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.6,0
4.1,0
4.6,0
5.1,0
5.6,85.5
6.1,127
6.6,136
7.1,132.0
7.6,131.5
8.1,132.5
8.7,134.5
9.2,130
9.7,135.0
10.2,137.0
10.7,133.5
11.2,132.5
11.7,132.0
12.2,132.0
12.7,132.5
13.2,132.5
13.7,133.0
14.3,132.0
14.8,133.0
15.3,131.0
15.8,131.5
16.3,130.0
16.8,129.5
17.3,133.0
