100, 0.05987, 0.005
200, 0.01833, 0.005
300, 0.01547, 0.005
400, 0.01308, 0.005
500, 0.01113, 0.005
600, 0.01051, 0.005
700, 0.00984, 0.005
800, 0.00899, 0.005
900, 0.00868, 0.005
1000, 0.00824, 0.005
1100, 0.00907, 0.005
1200, 0.00822, 0.005
1300, 0.00701, 0.005
1400, 0.00797, 0.005
1500, 0.00713, 0.005
1600, 0.00695, 0.005
1700, 0.00654, 0.005
1800, 0.00615, 0.005
1900, 0.00706, 0.005
2000, 0.00674, 0.005
2100, 0.00636, 0.005
2200, 0.00601, 0.005
2300, 0.00582, 0.005
2400, 0.00604, 0.005
2500, 0.00582, 0.005
2600, 0.00629, 0.005
2700, 0.00565, 0.005
2800, 0.00577, 0.005
2900, 0.00582, 0.005
3000, 0.00542, 0.005
3100, 0.00561, 0.005
3200, 0.00545, 0.005
3300, 0.00522, 0.005
3400, 0.00548, 0.005
3500, 0.00500, 0.005
3600, 0.00526, 0.005
3700, 0.00490, 0.005
3800, 0.00465, 0.005
3900, 0.00528, 0.005
4000, 0.00524, 0.005
4100, 0.00478, 0.005
4200, 0.00472, 0.005
4300, 0.00440, 0.005
4400, 0.00501, 0.005
4500, 0.00517, 0.005
4600, 0.00516, 0.005
4700, 0.00472, 0.005
4800, 0.00457, 0.005
4900, 0.00496, 0.005
5000, 0.00456, 0.005
5100, 0.00476, 0.005
5200, 0.00435, 0.005
5300, 0.00435, 0.005
5400, 0.00499, 0.005
5500, 0.00495, 0.005
5600, 0.00450, 0.005
5700, 0.00440, 0.005
5800, 0.00540, 0.005
5900, 0.00464, 0.005
6000, 0.00437, 0.005
6100, 0.00444, 0.005
6200, 0.00510, 0.005
6300, 0.00450, 0.005
6400, 0.00428, 0.005
6500, 0.00408, 0.005
6600, 0.00409, 0.005
6700, 0.00393, 0.005
6800, 0.00416, 0.005
6900, 0.00450, 0.005
7000, 0.00437, 0.005
7100, 0.00390, 0.005
7200, 0.00375, 0.005
7300, 0.00431, 0.005
7400, 0.00494, 0.005
7500, 0.00419, 0.005
7600, 0.00409, 0.005
7700, 0.00405, 0.005
7800, 0.00437, 0.005
7900, 0.00416, 0.005
8000, 0.00430, 0.005
8100, 0.00441, 0.005
8200, 0.00415, 0.005
8300, 0.00407, 0.005
8400, 0.00368, 0.005
8500, 0.00380, 0.005
8600, 0.00418, 0.005
8700, 0.00404, 0.005
8800, 0.00384, 0.005
8900, 0.00407, 0.005
9000, 0.00382, 0.005
9100, 0.00397, 0.005
9200, 0.00422, 0.005
9300, 0.00382, 0.005
9400, 0.00406, 0.005
9500, 0.00348, 0.005
9600, 0.00427, 0.005
9700, 0.00391, 0.005
9800, 0.00376, 0.005
9900, 0.00371, 0.005
10000, 0.00369, 0.005
10100, 0.00566, 0.02
10200, 0.00554, 0.02
10300, 0.00476, 0.02
10400, 0.00521, 0.02
10500, 0.00547, 0.02
10600, 0.00478, 0.02
10700, 0.00483, 0.02
10800, 0.00515, 0.02
10900, 0.00452, 0.02
11000, 0.00451, 0.02
